language_name,language_code,modern_language,is_official,script_name,script_code,script_modern,is_rtl
Riang (India),ria,True,False,Latin,Latn,True,False
Riffian,rif,True,False,Latin,Latn,True,False
Riffian,rif,True,False,Tifinagh,Tfng,True,True
Rinconada Bikol,bto,True,False,Latin,Latn,True,False
Rohingya,rhg,True,False,Arabic,Arab,True,True
Rohingya,rhg,True,False,Hanifi,Rohg,True,True
Rohingya,rhg,True,False,Latin,Latn,True,False
Romagnol,rgn,True,False,Latin,Latn,True,False
Romanian,ro,True,True,Cyrillic,Cyrl,True,False
Romanian,ro,True,True,Latin,Latn,True,False
Romansh,rm,True,False,Latin,Latn,True,False
Romany,rom,True,False,Cyrillic,Cyrl,True,False
Romany,rom,True,False,Latin,Latn,True,False
Rombo,rof,True,False,Latin,Latn,True,False
Ronga,rng,True,False,Latin,Latn,True,False
Rotuman,rtm,True,False,Latin,Latn,True,False
Roviana,rug,True,False,Latin,Latn,True,False
Rundi,rn,True,True,Latin,Latn,True,False
Russian,ru,True,True,Cyrillic,Cyrl,True,False
Rusyn,rue,True,False,Cyrillic,Cyrl,True,False
Rwa,rwk,True,False,Latin,Latn,True,False
Saamia,lsm,True,True,Unknown Script,Zzzz,True,False
Sabaean,xsa,False,False,Old South Arabian,Sarb,False,True
Sadri,sck,True,False,Devanagari,Deva,True,False
Safaliba,saf,True,False,Latin,Latn,True,False
Saho,ssy,True,False,Latin,Latn,True,False
Samaritan,smp,False,False,Samaritan,Samr,False,False
Samaritan Aramaic,sam,False,False,Hebrew,Hebr,True,True
Samaritan Aramaic,sam,False,False,Samaritan,Samr,False,False
Samburu,saq,True,False,Latin,Latn,True,False
Samoan,sm,True,True,Latin,Latn,True,False
Samogitian,sgs,True,False,Latin,Latn,True,False
Sandawe,sad,True,False,Latin,Latn,True,False
Sangir,sxn,True,False,Latin,Latn,True,False
Sango,sg,True,True,Latin,Latn,True,False
Sangu,sbp,True,False,Latin,Latn,True,False
Sanskrit,sa,False,False,Devanagari,Deva,True,False
Sanskrit,sa,False,False,Sinhala,Sinh,True,False
Sanskrit,sa,False,False,Grantha,Gran,False,False
Sanskrit,sa,False,False,Sharada,Shrd,True,False
Sanskrit,sa,False,False,Siddham,Sidd,True,False
Santali,sat,True,False,Bangla,Beng,True,False
Santali,sat,True,False,Devanagari,Deva,True,False
Santali,sat,True,False,Latin,Latn,True,False
Santali,sat,True,False,Odia,Orya,True,False
Santali,sat,True,False,Ol Chiki,Olck,True,False
Saraiki,skr,True,False,Arabic,Arab,True,True
Sardinian,sc,True,False,Latin,Latn,True,False
Sasak,sas,True,False,Latin,Latn,True,False
Sassarese Sardinian,sdc,True,False,Latin,Latn,True,False
Saterland Frisian,stq,True,False,Latin,Latn,True,False
Saurashtra,saz,True,False,Saurashtra,Saur,True,False
Scots,sco,True,False,Latin,Latn,True,False
Scottish Gaelic,gd,True,False,Latin,Latn,True,False
Seki,syi,True,False,Latin,Latn,True,False
Selayar,sly,True,False,Latin,Latn,True,False
Selkup,sel,True,False,Cyrillic,Cyrl,True,False
Sena,seh,True,False,Latin,Latn,True,False
Seneca,see,True,False,Latin,Latn,True,False
Serbian,sr,True,True,Cyrillic,Cyrl,True,False
Serbian,sr,True,True,Latin,Latn,True,False
Serbo-Croatian,sh,True,True,Unknown Script,Zzzz,True,False
Serer,srr,True,False,Latin,Latn,True,False
Seri,sei,True,False,Latin,Latn,True,False
Seselwa Creole French,crs,True,False,Latin,Latn,True,False
Shambala,ksb,True,False,Latin,Latn,True,False
Shan,shn,True,False,Myanmar,Mymr,True,False
Shekhawati,swv,True,False,Devanagari,Deva,True,False
Sherpa,xsr,True,False,Devanagari,Deva,True,False
Shona,sn,True,True,Latin,Latn,True,False
Shor,cjs,True,False,Cyrillic,Cyrl,True,False
Sichuan Yi,ii,True,False,Latin,Latn,True,False
Sichuan Yi,ii,True,False,Yi,Yiii,True,False
Sicilian,scn,True,False,Latin,Latn,True,False
Sidamo,sid,True,False,Latin,Latn,True,False
Siksiká,bla,True,False,Latin,Latn,True,False
Silesian,szl,True,False,Latin,Latn,True,False
Sindhi,sd,True,False,Arabic,Arab,True,True
Sindhi,sd,True,False,Devanagari,Deva,True,False
Sindhi,sd,True,False,Khojki,Khoj,False,False
Sindhi,sd,True,False,Khudawadi,Sind,True,False
Sinhala,si,True,True,Sinhala,Sinh,True,False
Sinte Romani,rmo,True,False,Latin,Latn,True,False
Sirmauri,srx,True,False,Devanagari,Deva,True,False
Skolt Sami,sms,True,False,Latin,Latn,True,False
Slave,den,True,False,Latin,Latn,True,False
Slave,den,True,False,Unified Canadian Aboriginal Syllabics,Cans,True,False
Slovak,sk,True,True,Latin,Latn,True,False
Slovenian,sl,True,True,Latin,Latn,True,False
Soga,xog,True,False,Latin,Latn,True,False
Somali,so,True,True,Arabic,Arab,True,True
Somali,so,True,True,Latin,Latn,True,False
Somali,so,True,True,Osmanya,Osma,False,False
Soninke,snk,True,False,Latin,Latn,True,False
Sora,srb,True,False,Latin,Latn,True,False
Sora,srb,True,False,Sora Sompeng,Sora,False,False
South Ndebele,nr,True,False,Latin,Latn,True,False
Southern Altai,alt,True,False,Cyrillic,Cyrl,True,False
Southern East Cree,crj,True,False,Latin,Latn,True,False
Southern East Cree,crj,True,False,Unified Canadian Aboriginal Syllabics,Cans,True,False
Southern Haida,hax,True,True,Unknown Script,Zzzz,True,False
Southern Hindko,hnd,True,False,Arabic,Arab,True,True
Southern Kurdish,sdh,True,False,Arabic,Arab,True,True
Southern Luri,luz,True,False,Arabic,Arab,True,True
Southern Lushootseed,slh,True,True,Unknown Script,Zzzz,True,False
Southern Sami,sma,True,False,Latin,Latn,True,False
Southern Sotho,st,True,True,Latin,Latn,True,False
Southern Thai,sou,True,False,Thai,Thai,True,False
Southern Tutchone,tce,True,True,Unknown Script,Zzzz,True,False
Spanish,es,True,True,Latin,Latn,True,False
Sranan Tongo,srn,True,False,Latin,Latn,True,False
Standard Moroccan Tamazight,zgh,True,False,Tifinagh,Tfng,True,True
Straits Salish,str,True,True,Unknown Script,Zzzz,True,False
Sukuma,suk,True,False,Latin,Latn,True,False
Sundanese,su,True,False,Latin,Latn,True,False
Sundanese,su,True,False,Sundanese,Sund,True,False
Susu,sus,True,False,Arabic,Arab,True,True
Susu,sus,True,False,Latin,Latn,True,False
Swabian,swg,True,False,Latin,Latn,True,False
Swahili,sw,True,True,Latin,Latn,True,False
Swampy Cree,csw,True,False,Unified Canadian Aboriginal Syllabics,Cans,True,False
Swati,ss,True,True,Latin,Latn,True,False
Swedish,sv,True,True,Latin,Latn,True,False
Swiss German,gsw,True,True,Latin,Latn,True,False
Sylheti,syl,True,False,Bangla,Beng,True,False
Sylheti,syl,True,False,Syloti Nagri,Sylo,True,False
Syriac,syr,True,False,Syriac,Syrc,True,True
Tabassaran,tab,True,False,Cyrillic,Cyrl,True,False
Tachelhit,shi,True,False,Arabic,Arab,True,True
Tachelhit,shi,True,False,Latin,Latn,True,False
Tachelhit,shi,True,False,Tifinagh,Tfng,True,True
Tae',rob,True,False,Latin,Latn,True,False
Tagalog,tl,True,True,Unknown Script,Zzzz,True,False
Tagbanwa,tbw,True,False,Latin,Latn,True,False
Tagbanwa,tbw,True,False,Tagbanwa,Tagb,False,False
Tagish,tgx,True,True,Unknown Script,Zzzz,True,False
Tahitian,ty,True,True,Latin,Latn,True,False
Tahltan,tht,True,True,Unknown Script,Zzzz,True,False
Tai Dam,blt,True,False,Tai Viet,Tavt,True,False
Tai Nüa,tdd,True,False,Tai Le,Tale,True,False
Taita,dav,True,False,Latin,Latn,True,False
Tajik,tg,True,True,Arabic,Arab,True,True
Tajik,tg,True,True,Cyrillic,Cyrl,True,False
Tajik,tg,True,True,Latin,Latn,True,False
Talysh,tly,True,False,Arabic,Arab,True,True
Talysh,tly,True,False,Cyrillic,Cyrl,True,False
Talysh,tly,True,False,Latin,Latn,True,False
Tamashek,tmh,True,False,Latin,Latn,True,False
Tamil,ta,True,True,Tamil,Taml,True,False
Taroko,trv,True,False,Latin,Latn,True,False
Tasawaq,twq,True,False,Latin,Latn,True,False
Tatar,tt,True,False,Cyrillic,Cyrl,True,False
Tausug,tsg,True,False,Latin,Latn,True,False
Tavringer Romani,rmu,True,False,Latin,Latn,True,False
Tedim Chin,ctd,True,False,Latin,Latn,True,False
Telugu,te,True,False,Telugu,Telu,True,False
Tereno,ter,True,False,Latin,Latn,True,False
Teso,teo,True,False,Latin,Latn,True,False
Tetum,tet,True,True,Latin,Latn,True,False
Thai,th,True,True,Thai,Thai,True,False
Thulung,tdh,True,False,Devanagari,Deva,True,False
Tibetan,bo,True,False,Tibetan,Tibt,True,False
Tigre,tig,True,False,Ethiopic,Ethi,True,False
Tigrinya,ti,True,True,Ethiopic,Ethi,True,False
Timne,tem,True,False,Latin,Latn,True,False
Tiv,tiv,True,False,Latin,Latn,True,False
Tlingit,tli,True,False,Latin,Latn,True,False
Tok Pisin,tpi,True,True,Latin,Latn,True,False
Tokelau,tkl,True,True,Latin,Latn,True,False
Toki Pona,tok,False,False,Latin,Latn,True,False
Tolaki,lbw,True,False,Latin,Latn,True,False
Tomo Kan Dogon,dtm,True,False,Latin,Latn,True,False
Tongan,to,True,True,Latin,Latn,True,False
Tooro,ttj,True,False,Latin,Latn,True,False
Tornedalen Finnish,fit,True,False,Latin,Latn,True,False
