language_code,language_name,local_name,iso639_1,iso639_2_t,iso639_2_b,scripts,script_codes,primary_script,primary_script_code,directionality,directionality_wikimedia,modern_language,is_official,n_scripts,in_iso639_1,in_iso639_2,in_wikimedia,is_group_iso639_2,sources,cldr_version,iso639_5_direct,iso639_5_family,family_name,subfamily_name
mxc,Manyika,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
my,Burmese,Myanmasa,my,mya,bur,Mymr,Mymr,Mymr,Mymr,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
mye,Myene,,,,,,,,,ltr,,True,True,0,False,False,False,False,cldr_v45,45,bnt,nic,Niger-Kordofanian languages,Bantu languages
myv,Erzya,,,myv,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,fiu,urj,Uralic languages,Finno-Ugrian languages
myx,Masaaba,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
myz,Classical Mandaic,,,,,Mand,Mand,Mand,Mand,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
mzb,Tumzabt,,,,,Arab|Latn,Arab|Latn,Arab,Arab,rtl,,True,False,2,False,False,False,False,cldr,48.2.0,ber,afa,Afro-Asiatic languages,Berber languages
mzn,Mazanderani,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,ira,ine,Indo-European languages,Iranian languages
na,Nauru,Dorerin Naoero,na,nau,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,map,map,Austronesian languages,Austronesian languages
nah,Nahuatl,Nahuatl,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,nai,nai,North American Indian languages,North American Indian languages
nan,Min Nan Chinese,,,,,Hans|Hant,Hans|Hant,Hans,Hans,ltr,,True,True,2,False,False,False,False,cldr,48.2.0,zhx,sit,Sino-Tibetan languages,Chinese languages
nap,Neapolitan,Nnapulitano,,nap,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,roa,ine,Indo-European languages,Romance languages
naq,Nama,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,khi,khi,Khoisan languages,Khoisan languages
nb,Norwegian Bokmål,Norsk (bokmål),nb,nob,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages
nch,Central Huasteca Nahuatl,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nai,nai,North American Indian languages,North American Indian languages
nd,North Ndebele,Sindebele,nd,nde,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
ndc,Ndau,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
nds,Low German,Plattdüütsch,,nds,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages
nds-nl,Dutch Low Saxon,Nedersaksisch,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,gem,ine,Indo-European languages,Germanic languages
ne,Nepali,नेपाली,ne,nep,,Deva,Deva,Deva,Deva,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
new,Newari,नेपालभाषा / Newah Bhaye,,new,,Deva,Deva,Deva,Deva,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
ng,Ndonga,Oshiwambo,ng,ndo,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
ngl,Lomwe,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
nhe,Eastern Huasteca Nahuatl,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nai,nai,North American Indian languages,North American Indian languages
nhw,Western Huasteca Nahuatl,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nai,nai,North American Indian languages,North American Indian languages
nia,Nias,,,nia,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages
nij,Ngaju,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages
niu,Niuean,,,niu,,Latn,Latn,Latn,Latn,ltr,,True,True,1,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages
njo,Ao Naga,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
nl,Dutch,Nederlands,nl,nld,dut,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages
nmg,Kwasio,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
nn,Norwegian Nynorsk,Norsk (nynorsk),nn,nno,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages
nnh,Ngiemboon,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
no,Norwegian,Norsk (bokmål / riksmål),no,nor,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages
nod,Northern Thai,,,,,Lana,Lana,Lana,Lana,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,tai,tai,Tai-Kadai languages,Tai-Kadai languages
noe,Nimadi,,,,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
nog,Nogai,,,nog,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,trk,tut,Altaic languages,Turkic languages
non,Old Norse,,,non,,Runr,Runr,Runr,Runr,ltr,,False,False,1,False,True,False,False,cldr|iso639_2,48.2.0,gem,ine,Indo-European languages,Germanic languages
nov,Novial,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,art,art,Artificial languages,Artificial languages
nqo,N’Ko,,,nqo,,Nkoo,Nkoo,Nkoo,Nkoo,rtl,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
nr,South Ndebele,isiNdebele,nr,nbl,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
nrm,Norman,Nouormand / Normaund,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,roa,ine,Indo-European languages,Romance languages
nsk,Naskapi,,,,,Cans|Latn,Cans|Latn,Cans,Cans,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,alg,nai,North American Indian languages,Algonquian languages
nso,Northern Sotho,Sesotho sa Leboa / Sepedi,,nso,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
nus,Nuer,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,ssa,ssa,Nilo-Saharan languages,Nilo-Saharan languages
nv,Navajo,Diné bizaad,nv,nav,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,nai,nai,North American Indian languages,North American Indian languages
nwc,Classical Newari,,,nwc,,,,,,ltr,,True,False,0,False,True,False,False,loc_only,,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
nxq,Naxi,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
ny,Nyanja,Chi-Chewa,ny,nya,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
nym,Nyamwezi,,,nym,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
nyn,Nyankole,,,nyn,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
nyo,Nyoro,,,nyo,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
nzi,Nzima,,,nzi,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
oc,Occitan,Occitan,oc,oci,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,roa,ine,Indo-European languages,Romance languages
oj,Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ / Anishinaabemowin,oj,oji,,Cans|Latn,Cans|Latn,Cans,Cans,ltr,ltr,True,False,2,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,nai,nai,North American Indian languages,North American Indian languages
ojb,Northwestern Ojibwa,,,,,,,,,ltr,,True,True,0,False,False,False,False,cldr_v45,45,nai,nai,North American Indian languages,North American Indian languages
ojc,Central Ojibwa,,,,,,,,,ltr,,True,True,0,False,False,False,False,cldr_v45,45,nai,nai,North American Indian languages,North American Indian languages
ojg,Eastern Ojibwa,,,,,,,,,ltr,,True,True,0,False,False,False,False,cldr_v45,45,nai,nai,North American Indian languages,North American Indian languages
ojs,Oji-Cree,,,,,Cans,Cans,Cans,Cans,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,alg,nai,North American Indian languages,Algonquian languages
ojw,Western Ojibwa,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,alg,nai,North American Indian languages,Algonquian languages
oka,Okanagan,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nai,nai,North American Indian languages,North American Indian languages
om,Oromo,Oromoo,om,orm,,Latn|Ethi,Latn|Ethi,Latn,Latn,ltr,ltr,True,False,2,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,cus,afa,Afro-Asiatic languages,Cushitic languages
or,Odia,ଓଡ଼ିଆ,or,ori,,Orya,Orya,Orya,Orya,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
os,Ossetic,Иронау,os,oss,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,ira,ine,Indo-European languages,Iranian languages
osa,Osage,,,osa,,Osge|Latn,Osge|Latn,Osge,Osge,ltr,,True,False,2,False,True,False,False,cldr|iso639_2,48.2.0,nai,nai,North American Indian languages,North American Indian languages
osc,Oscan,,,,,Ital|Latn,Ital|Latn,Ital,Ital,rtl,,True,False,2,False,False,False,False,cldr,48.2.0,ine,ine,Indo-European languages,Indo-European languages
ota,"Turkish, Ottoman (1500-1928)",,,ota,,,,,,ltr,,True,False,0,False,True,False,False,loc_only,,trk,tut,Altaic languages,Turkic languages
otk,Old Turkish,,,,,Orkh,Orkh,Orkh,Orkh,ltr,,False,False,1,False,False,False,False,cldr,48.2.0,trk,tut,Altaic languages,Turkic languages
pa,Punjabi,ਪੰਜਾਬੀ / پنجابی,pa,pan,,Guru|Arab,Guru|Arab,Guru,Guru,ltr,ltr,True,False,2,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
pag,Pangasinan,Pangasinan,,pag,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,map,map,Austronesian languages,Austronesian languages
pal,Pahlavi,,,pal,,Phli|Phlp,Phli|Phlp,Phli,Phli,rtl,,False,False,2,False,True,False,False,cldr|iso639_2,48.2.0,ira,ine,Indo-European languages,Iranian languages
pam,Pampanga,Kapampangan,,pam,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,map,map,Austronesian languages,Austronesian languages
pap,Papiamento,Papiamentu,,pap,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,crp,crp,Creoles and pidgins,Creoles and pidgins
pau,Palauan,,,pau,,Latn,Latn,Latn,Latn,ltr,,True,True,1,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages
pcd,Picard,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,roa,ine,Indo-European languages,Romance languages
pcm,Nigerian Pidgin,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,crp,crp,Creoles and pidgins,Creoles and pidgins
pdc,Pennsylvania German,Deitsch,,,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,False,True,False,cldr|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages
pdt,Plautdietsch,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,gem,ine,Indo-European languages,Germanic languages
peo,Old Persian,,,peo,,Xpeo,Xpeo,Xpeo,Xpeo,ltr,,False,False,1,False,True,False,False,cldr|iso639_2,48.2.0,ira,ine,Indo-European languages,Iranian languages
pfl,Palatine German,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,gem,ine,Indo-European languages,Germanic languages
phn,Phoenician,,,phn,,Phnx,Phnx,Phnx,Phnx,rtl,,False,False,1,False,True,False,False,cldr|iso639_2,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
pi,Pali,Pāli / पाऴि,pi,pli,,Latn|Deva|Mymr|Sinh|Thai,Latn|Deva|Mymr|Sinh|Thai,Latn,Latn,ltr,ltr,True,False,5,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
pih,Norfolk,Norfuk,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,crp,crp,Creoles and pidgins,Creoles and pidgins
pis,Pijin,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,crp,crp,Creoles and pidgins,Creoles and pidgins
pko,Pökoot,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,ssa,ssa,Nilo-Saharan languages,Nilo-Saharan languages
pl,Polish,Polski,pl,pol,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sla,ine,Indo-European languages,Slavic languages
pms,Piedmontese,Piemontèis,,,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,False,True,False,cldr|wikimedia,48.2.0,roa,ine,Indo-European languages,Romance languages
pnt,Pontic,,,,,Grek|Cyrl|Latn,Grek|Cyrl|Latn,Grek,Grek,ltr,,True,False,3,False,False,False,False,cldr,48.2.0,grk,ine,Indo-European languages,Greek languages
pon,Pohnpeian,,,pon,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages
ppl,Pipil,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,azc,nai,North American Indian languages,Uto-Aztecan languages
pqm,Maliseet-Passamaquoddy,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,alg,nai,North American Indian languages,Algonquian languages
prd,Parsi-Dari,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,ira,ine,Indo-European languages,Iranian languages
prg,Prussian,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bat,ine,Indo-European languages,Baltic languages
pro,Old Provençal,,,pro,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,roa,ine,Indo-European languages,Romance languages
ps,Pashto,پښتو,ps,pus,,Arab,Arab,Arab,Arab,rtl,rtl,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,ira,ine,Indo-European languages,Iranian languages
pt,Portuguese,Português,pt,por,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,roa,ine,Indo-European languages,Romance languages
puu,Punu,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
qu,Quechua,Runa Simi,qu,que,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sai,sai,South American Indian languages,South American Indian languages
quc,Kʼicheʼ,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,cai,cai,Central American Indian languages,Central American Indian languages
qug,Chimborazo Highland Quichua,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sai,sai,South American Indian languages,South American Indian languages
raj,Rajasthani,,,raj,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
rap,Rapanui,,,rap,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages
rar,Rarotongan,,,rar,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages
rcf,Réunion Creole French,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,crp,crp,Creoles and pidgins,Creoles and pidgins
rej,Rejang,,,,,Latn|Rjng,Latn|Rjng,Latn,Latn,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages
rgn,Romagnol,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,roa,ine,Indo-European languages,Romance languages
rhg,Rohingya,,,,,Rohg|Arab|Latn,Rohg|Arab|Latn,Rohg,Rohg,rtl,,True,False,3,False,False,False,False,cldr,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
ria,Riang (India),,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
rif,Riffian,,,,,Latn|Tfng,Latn|Tfng,Latn,Latn,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,ber,afa,Afro-Asiatic languages,Berber languages
rjs,Rajbanshi,,,,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
rkt,Rangpuri,,,,,Beng,Beng,Beng,Beng,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
rm,Romansh,Rumantsch,rm,roh,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,roa,ine,Indo-European languages,Romance languages
rmf,Kalo Finnish Romani,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
